author,text
Seey Kaak,중국은 전부 각자 다짜개져야된다 독립응원함
들어봐 리슨,한글은 중국어 발음기호라 해~
지숑,아 진짜 문화말고 미세먼지랑 코로나나 가져가라!!!
핑,ㅋㅋㅋ코로나색히들 진짜  불쌍하다
유찬,솔직히 중국 게임광고 맞춤법도 어감도 이상한거 참 짜증나고 욕밖에안나옴..ㅡㅡ
원재희,"중국에게 필요한 것? 제 2의 아편전쟁이다.
아편전쟁의 결과? 중국의 거대한 체구가 그냥 뻥튀기에 불과했다는 것이 드러났던 것이고
아편전쟁 패전을 시점으로 중국이 덩치만 큰 호구라는것이 드러나서 서구 열강들의 뜯어먹기가 본격화됬지.

지금도 마찬가지다.
세계 2위 경제대국? 군사강국?
그 허상이 뿌러지는 그 순간, 중국은 또다시 갈기갈기 찢어질거다.
남에서는 대만과 일본이 짓처들어올거고, 
북에서는 만주와 몽골이,
서쪽에선 베트남과 인도가 올커니 이때다를 외치며 밀고 들어오겠지.
동쪽? 우리가 있잖아? 어여어여 뒷배 잃은 북한 밟아버리고 옛 고구려 영토 수복해야지."
오리뀍꽥,홍위병에게안밀리는 아미그들은레전드
박준성,6.25때 우리나라의 적이 중국인데 우리가 중국을 언급할 필요가 없지
어라랍스타,"5:36 군사력보다 경제력보다 더 강력했던건
문화였다
김구선생님이 옳았다"
홍어먹는와키자카,"독도는 우리땅 
한복은 우리옷 
김치는 우리음식 
중국 ㅗ"
윤영수,전세계에 똥을 퍼다 뿌리고 있네 ㅋㅋㅋㅋㅋㅋㅋㅋ
Chabin Hong,갑자기 알고리즘 떠서 본건데 썸네일에 아무무 들어있는거 정말 올라오네요 에욱
Chris Thay,동북공정 키배 뜨는 애들을 홍위병으라고 부르는게 재미있는 건 문화혁명때 오리지널 홍위병들이 지네 전통 문화를 다 없애야 한다고불지르고 살인하고 개지랄했다는 것. 그 때 한푸 입고 다녔으면 홍위병들에게 붙잡혀 대가리 빡빡 밀리고 자아비판하고도 모자라 광장에 모가지 매달렸을 것임
알빠입니까!,참웃기는건 10~15년전에 넷상에서는 한복색물드릴기술이없다느니 비하하고 김치나먹는 민족이니 비난을위해사용하던것들을 이제와서는 지들꺼라고 우겨되는 상황 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
NeuroWhAI,중국 내 역사 교육 대신 이런 개인 유튜브 영상 틀어주는 게 차라리 더 나을 지경
앜쿠,참 볼수록 ㅈ병신들인듯
S.K Hong,"푸우만 있는 줄 알았는데...
핑핑아...마오..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ상상도 못했다"
짱구머리국밥,짜장들이라해
MoSs,"G식백과님 풍자와 말빨은 진짜 따라올 사람이 없는데 한복이 자기들 것이라는 🐕잡소리에 사이다 팩트를 때려박을 수 있는 역사 증거자료 같은게 없어서 아쉽네요...ㅠㅠ 그래도 정말 속시원했습니다
G식백과 최고!!!"
상추를 치료해줄 사람 어디 없나,근데 저놈들은 저렇게 안하면 인체가 신비해짐
coldfeet,중국인인줄 모르고 욕했는데 욕하고보니 중국인이었다
Muk Ly,고구려는 사실 중국 소수 민족의 지방 정권이었다. = 중국은 단 한번도 통일왕조를 이룬 적이 없다. 깔깔깔 진시황 무덤에서 뛰쳐나오겠다. 떼놈들아 ㅋㅋㅋㅋ
김현옥,"중국은'언젠간'망하겠지











중국의자연이파괴되깅ㅆ으니까망하겠지


















저기에서는한국의한이중국의중인가"
BlckLst,"막말로

옷은 ㅈ도 못입어서 거적데기나 걸치고 기껏해야 빨간색에 금칠이나 하는 놈들이 어떻게 한복같은 고수준 예술 의복을 만드냐"
가나다,핑핑아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
man out of you,뭐야 내가쓴글 왜 삭제당했다냐
hui_won shin,"중국은 어떤 회사든간에 공산당한테는 기어야돼, 썅 나불대면 오프라인으로 뒤지거든;"
LIFE magazine,그래서 중국이 싫다. 코로나는 너희꺼.
quality of life,이런건 영어자막도 달아줘야 하는데...
박한수,저도 처음엔 샤이닝니키 할까 말까 고민하다가 한복 논란 터지지마자 바로 결심했습니다. 안하기로 했죠.
이권구,"???:김치 중국꺼!
???:기모노 중국꺼!
???:코로나 우리꺼 아님"
백승은,빠...빨간색이 가득해....!!
공주대_황인하,대충 2년 후 해킹을 시도할 수 있다는 댓글
발진                              9년전,"아니 느그들이 문화대혁명때 지들꺼 다 불살라놓고 이제와서 남의거 빼앗으려하냐?
ㅋㅋ난 이거론부족해서
🇰🇷🇲🇳°°)༼🦠🇨🇳~~~~~~~~~~~🦠🖕🇨🇳~🗑"
버첼아언제와도대체나진짜미쳐,장난질중에 하나인거면 대체 중국 전통의상은 뭐인거임???ㅋㅋ 한복도 지네꺼야 무슨 다른국가 전통옷도 지네꺼야 전통의상 개많네
