일자	언론사	제목	키워드
20201013	머니투데이	한복도 "우리 옷" 우기더니 BTS엔 생트집 中 삐뚤어진 애국	한복,BTS,생트집,애국,중국,애국주의,열풍,억지,변질,모습,방탄소년단,BTS,6,언급,중국,모욕,비판,불매운동,조짐,한복,중국,전통,의상,AFPBBNews,뉴스1,BTS,국가,존엄,BTS,미국,영리,단체,코리아,소사이어티,미관계,발전,기여,공로,플리트상,수상,BTS,전쟁,주년,언급,중국인들,반발,중국,관영,매체,환구,시보,BTS,리더,RM,소감,밴플리트,수상,6,한미,양국,아픔,역사,남성,여성,희생,기억,환구시보,중국,네티즌,양국,고난,역사,분노,표출,중국,입장,생각,한미,양국,희생,부각,얘기,중국,6.25전쟁,미국,북한,항미원조,갈등,격화,애국주의,정신,강조,항미원조,상황,BTS,수상수감,중국,불매운동,조짐,실제,온라인몰,삼성전자,공식,스마트폰,BTS,에디션,이어폰,그룹,방탄,소년단,BTS,사진,치파오,한복,중국,한족,우월성,강조,민족주의,강화,의상,한족,전통,열풍,불똥,의상,우리나라,전통,한복,한푸,만주족,청나라,시절,청나라,만주족,의상,치파오,중국,전통,의상,2000년대,운동,시작,시진핑,중국,국가주석,집권,강화,한족,민족주의,강화,포석,성화,중국,드라마,장면,드라마,명나라,배경,등장,조선,시대,의상,지적,사진,성화14,캡처,한푸,단일,유형,복장,왕조,각양각색,존재,복장,애초,교류,한복,영향,의상,정확,고증,드라마,중국,한복,등장,사례,넷플릭스,드라마,킹덤,BTS,블랙핑크,한복,세계,관심,중국,모방,의견,중국,한복,한족,전통의상,한푸,영감,주장,CNN,청나라,시대,가지,유형,복장,당나라,명나라,특정,지역,사회,지위,의상,정확,고증,각종,시대,의상,지적,미군,중공군,중국,코로나,이긴,영화,드라마,중국,6.25,전쟁,코로나19,소재,영화,드라마,제작,방영,맹목적,애국주의,강화,환구,시보,중국,영화,감독,거장,장이머우,6.25전쟁,중공군,저격,미군,영화,연출,황금연휴,중국,국경절,황금,연휴,1~8일,항일,전쟁,소재,바바이,애국주의,영화,상영,연장,박스오피스,기간,중국,중국,공산당,빈곤,전쟁,승리,영화,고향,1위,차지,코로나19,세계,극복,자신감,반영,중국,코로나19,사태,초반,진원지,우한,파견,의료진들,이야기,의사,영화,중국,제작,시작,중국,중앙라디오방송국,CMG,17일,채널,CCTV,종합,드라마,코로나19,소재,역행자,방영,전문가들,중국,극단,애국주의,통제,지적,관료,중국,외교,중국국제문제연구원,CIIS,위안,난셩,중국,코로나,팬데믹,세계적,대유행,싸움,선전,중국,부상,역사적,기회,전략,오판,중국,포퓰리즘,극단,민족주의,방치,국제사회,중국,우선주의,오해
20201017	한국일보	중국 드라마에 조선의 갓과 망건이 왜 나와 ... '한복공정' 논란	중국,드라마,조선,망건,한복공정,논란,중국,한복,동북공정,포털,카페,중국,드라마,전통,복식,한복,지적,트위터,SNS,커뮤니티,지적,중국,드라마,한복,韓服,전통,복식,연구자,중국,드라마,등장,조선,스타일,망건,입길,중국,드라마,청룽,제작,참여,화제,드라마,성화,成化十四年,명나라,배경,드라마,형태,전통,복식,망건,연구자,전통,복식,조선,망건,이마,명나라,망건,정수리,형태,입체적,드라마,망건,드라마,조선시대,평가,명나라,모자,말총,이용,반투명,모자,윗부분,완벽,구분,형태,전형적,조선,후기,모양새,설명,오류,단순,고증,가능성,한복,성화14년,등장인물들,조선,스타일,망건,머리카락,정수리,이마,명나라,조선,방식,망건,조선,시대,스타일,이마,장식,갓끈,형태,디테일,차이,의도적,화면,우선시,의도,지적,한국,방영,인기,삼생삼세십리도화,중국,드라마,三生三世十里桃花,배경,특정,시대,무협,판타지,등장,시녀들,조선,시대,복장,화제,차용,평가,대세,방영,소주차만행,少主且慢行,재연,배경,명나라,드라마,주요인물들,드라마,인물,한푸,漢服,중국,의상,한족,전통,시녀들,한복,평가,복장,한푸,한복,네티즌,네티즌,설전,한국,네티즌,조선인,위장,설정,시녀,한복,복식,이젠,전통,날선,태도,네티즌들,중국,네티즌,한국,전통,복장,원래,한국,중국,영향,주장,전문가들,양국,과도,반응,설명,전문가,전통,의상,우리나라,드라마,영화,고증,부족,의도,연출,효과,감안,의도적,전통복식,등장,중국,드라마,차원
20201017	머니투데이	"전세계 아미까지 적으로" BTS에 생트집, 반중 정서만 키웠다	세계,아미,BTS,생트집,정서,방탄소년단,BTS,한국,전쟁,발언,중국,민족주의,비판,중국,BTS,팬덤,아미,정서,예상,남탓,언론,BTS,감사,블룸버그통신,BTS,발언,여론,선동,시작,중국판,트위터,웨이,중국,누리,중국,모욕,반발,보도,중국,관영,매체,환구시보,환구시보,BTS,밴플리트,수상,전쟁,주년,발언,중국,누리,한미,양국,고난,역사,분노,매체,BTS,미국,항미원조,역사,중국,존중,사태,중국,불매운동,조짐,환구시보,기사,삭제,환구시보,BTS,중국,제목,기사,게재,중국인들,자극,기사,한국,언론,댓글,인용,기사,한국,중국,반응,이해,반응,소개,논란,미국,국무부,가세,대변인,모건,오테이거스,국무부,트위,긍정적,한미,지지,BTS,지속적,노력,감사,밴플리트상,수상,자격,음악,세계,이튿날,국무부,4년,티베트,정책,조정관,임명,홍콩,시위,탄압,캐리,10명,목록,홍콩,관료,의회,제출,소식,오테이거스,대변인,언급,중국,인권,비판,환구시보,15일,사태,한국,언론,책임,의견,환구시보,편집인,논평,한국,언론,중국,누리,반응,선정적,보도,한국,언론,표현,권리,존중,중국,누리,불만,표출,보도,논평,중국,주류,언론,매체,대변인,중국,외교,자제,모습,한복,아리랑,극장가,애국영화,중국,과열,민족주의,애국주의,피해,야기,중국,한족,우월성,강조,민족주의,강화,전통,의상,열풍,의상,우리나라,전통,한복,아리랑,불똥,지난달,중국,예능,프로그램,출연자,한복,아리랑,노래,장면,방영,프로그램,출연,중국,길거리,찬사,중국,아리랑,중국,무형문화유산,등재,조선족,중국,소수,민족,문화,중국,문화,주장,우리나라,정부,아리랑,유네스코,등재,신청,중국,6.25전쟁,코로나19,소재,영화,드라마,제작,왜곡,비판,6.25전쟁,미국,침략자,표현,코로나19,사태,중국,불리,얘기,영웅담,맹목적,애국주의,합류,반중동맹,수도,포린폴리시,FP,15일,현지시간,BTS,논란,팬덤,아미,중국,언론,누리꾼,포위,아미,밀크티,동맹,Milk,Tea,Alliance,합류,일원,FP,중국,인민,해방군,PLA,아미,대결,묘사,밀크티,동맹,홍콩,대만,태국,집단,누리,태국,유명인,중국,무시,중국,누리,공격,반발,탄생,밀크티,홍콩,대만,태국,공통적,음료,중국,생트집,결국,역풍,아시아,지역,반중정서,극대화,예상,실제,사태,트위터,SNS,차이나치,Chinazi,해시태그,운동,시작,시위,홍콩,등장,단어,중국,독일,나치,합성,극단적,중국,민족주의,비판,AP통신,BTS,인터뷰,BTS,세계,중국,결국,세계,중국,6.25,전쟁,역할,활동가,홍콩,민주,조슈아,중국,BTS,트집,사태,중국,민족주의,중국,나라,긴장,고조,조짐,관료,중국,외교,중국국제문제연구원,CIIS,위안,난셩,중국,코로나,팬데믹,세계적,대유행,싸움,선전,중국,부상,역사적,기회,전략,오판,중국,포퓰리즘,극단,민족주의,방치,국제사회,중국,우선주의,오해
20201018	한국경제	[연예 마켓+] K팝 한복도 모두 자기네 꺼라는 중국의 속내	K팝,중국,속내,중국,소수,민족,조선족,전통,중국,문화,한류,원조,중국,방탄소년단,BTS,블랙핑크,대표,K팝,킹덤,한복,한국,콘텐츠,세계적,관심,사랑,중국,움직임,한국,콘텐츠,사용,한국,문화,자체,중국문화,프레임,모양새,조선족,중국,소수,민족,한국,전통,문화,중국,주장,양상,압록강,얼마,방탄,소년단,한미,한미,개선,공로,시상식,플리트상,6.25,한국,전쟁,한미,양국,고난,역사,언급,중국,네티즌,분노,중국,한국전쟁,참전,무시,중국,한국전쟁,항미원조,전쟁,미국,지원,한국,침략,조선,북한,전쟁,중국,인식,반영,드라마,제작,확정,중국,국영방송,CCTV,제작,대하드라마,압록강,40부,기획,드라마,중국,한국,전쟁,참전,중화민족주의,연출자,쉐지진,PD,인민지원군,마음,결전,악랄,한국군,침공,투쟁,고지,수호,전투,저격능선전투,위업,드라마,절정,장식,복원,운동,넷플릭스,킹덤,세계적,인기,아마존,킹덤,모자,등장,방탄소년단,블랙핑크,NCT127,세계적,인기,아이돌,한복,모티브,무대,의상,한복,주목,세계적,한국,전통,복식,집중,조명,중국,그동안,금기,한푸,복원,움직임,중국,자신,정체성,청나라,청나라,만주족,전통,의상,치파오,전통,의상,한푸,청나라,명나라,송나라,한족,전통,복장,왕조,각약각색,존재,교류,한복,영향,명나라,배경,사극,조선시대,도포,등장,3.,동북공정,ing,중국,고구려,발해,자신,역사,주장,동북공정,진행,중국,한국,역사,흡수,시도,진행,중국,연변,지역,거주,조선족,자신,소수민족,조선족,문화,중국,문화,2016년,윤동주,시인,조선족,소개,중국,국적,바이,중국,포털,백과사전,표기,논란,바이두,하루,이용자,20억,중국,사이트,대표,포털,중국,예능,프로그램,중국,전통,의상,전통,소개,한복,아리랑,부채춤,중국,쇼미더머니,도용,차이나,오브,자신,중국,조선족,소개,참여자,아리아리랑,장백산,소년,백두산,장백산,모습,방영,도용,인기,중국,한국,콘텐츠,도용,역사,왜곡,자신,어제오늘,반복,중국,도발,행동,대응,국가지식재산위원회,대통령,소속,국가,지식,재산,위원회,문화콘텐츠산업,지식재산권,제조업,대비,부가,가치,창출,효과,1.5배,고용,창출,효과,2.2배,해외,발생,지식,재산,침해,한류,콘텐츠,최소,해외,매출,10%,경제,손실,추정,한국콘텐츠진흥원,조사,사례,프로그램,포맷,권리,침해,2016년,상반기,18편,한국,예능,프로그램,차례,도용,권리침해,발생,19건,중국,방송국,중국,한한령,限韓令,이름,수입,한국,콘텐츠,교류,포맷,예능,프로그램,도용,사례,법적,규제,상황,한국,데뷔,중국,인기,아이돌들,도용,프로그램,출연,상황,소속사,입장,한국,거액,출연료,보장,출연,중국,프로그램,거부,상황,중국,영토,분쟁,홍콩,시위,정치적,한국,활동,아이돌들,중국,출신,아이돌,발언,요구,상황,발생,일각,세계적,성장,K-콘텐츠,영향력,중국,이용
20201023	중앙일보	"중국 시녀 옷이 한복" 이제 한복까지 뺏어가려고 드릉드릉함?	중국,시녀,한복,한복,ㅈㅂㅈㅇ,중국,한복,온라인,카페,게시물,제목,작성자,현지시간,미스,홍콩,선발,대회,후보,무용수들,한복,유사,중국,전통,의상,치파오,나라,문화,배경,의문,제기,중국,드라마,한복,시녀,동북공정,한복,하류,문화,심리,커뮤니티,각종,온라인,SNS,중국,한복,문제제기,미인대회,드라마,패션쇼,콘텐트,각종,중국,한복,장신구,등장,중국,한복,자신들,전통,의복,물밑작업,주장,대표적,방영,배경,드라마,성화,成化14,주인공,망건,논란,소수,사이,중국,네티즌,복장,조선왕조,고려시대,한국,드라마,반응,드라마,소주차만행,少主且慢行,배우들,시녀,역할,배우,한복,유사,치마저고리,차림,등장,한복,중국,하위문화,인식,의도,의혹,중국,한복,복식학,전문가,의견,망건,치마저고리,디자인,논란,사진,의상,사진,장신구,우리나라,고유,중국,드라마,패션쇼,망건,조선,시대,양식,전문가들,이견,전문가,망건,남자들,상투,머리카락,이마,장식,명나라,망건,망건,형태,김소현,배화여대,패션,산업학,교수,전통의상,전공,망건,이마,방식,중국,망건,구멍,모자,형태,설명,중국,모자,단정,모자,꼭대기,원통형,말총,소재,전형,조선,후기,특징,중론,교수,청명상,송나라,그림,송나라,모양,쓰개,등장,논란,사진,한국적,중국인들,형태,복식사,전공,교수,양식,중국,치마저고리,미스,홍콩,대회,드라마,소주차만행,등장,치마저고리,조선,시대,양식,의견,치마,저고리,치마,조선,세기,방식,저고리,저고리,동정,중국,스타일,전문가들,설명,한복,동북,공정,논란,망건,치마저고리,전통,복식,전문가들,대다수,전문가,인정,복식,중국,콘텐트,등장,현상,한복,전문가,의견,익명,요구,복식,전문가,교수,한국,중국,문화,지엽적,발생,차원,중국,정부,한복,중국,문화,움직임,대응,복식,디자인,정도,반응,한국,중국,의복,역사,영향,발달,관복,중국,반대,복식,중국,원나라,유행,원나라,명나라,조선,초기,의복,유사,자연,문화,전파,중국,문화,편입,의도,의견,김소현,교수,과거,한중,패션,영향,고증,의복,사극,포함,주인공,한복,사람들,배치,무의식적,인식,위험,치파오,중국,전문가,치파오,한푸,漢服,중국,전통,의상,흐름,한복,중국,콘텐트,등장,배경,의상,중국,전통,치파오,만주족,청나라,의상,청나라,중국,치파오,중국,인구,92%,차지,한족,漢族,지배,시대,복장,한푸,복원,분위기,명나라,한족,통일,왕조,복식,한푸,범위,자신들,전통,복식,왕조,각양각색,존재,복식,한푸,통칭,양식,반영,명나라,복식,고유,한복,한푸,교수,문화,중국,특유,태도,한복,유야무야,중국,자세,생각,맥락,한복,동북,공정,논란,생각,ㅈㅂㅈㅇ,정보,ㅈㅂㅈㅇ,시사,이슈,의문점,지식,영상,시리즈,ㅈㅂㅈㅇ,정보,초성,연결,신조어,정보,댓글,표현
20201105	한국일보	[시시콜콜] "한복이 중국 전통의상?" 게임이 부른 한 중 '한복 전쟁'	한복,중국,전통,의상,게임,한복,전쟁,중국,게임,한복,아이템,사과,주장,개발사,항의,누리,불매,한국,고유,전통의상,한복,한국,중국,누리,원조,논쟁,도화선,중국,게임,업체,페이퍼게임즈,스타일링,게임,샤이닝,니키,진출,아이템,한복,의상,의상,중국,누리,한복,중국,불쾌감,반응,억지,주장,중국인,비판,개발사,중국기업,페이퍼게임즈,조국,입장,일치,결국,한복,아이템,삭제,여론,한복,챌린지,누리꾼,한국,누리,사회관계,서비스,SNS,실시간,트렌드,샤이닝,니키,단어,누리,항의,게시,게임,불매,선언,환불,요구,탈퇴,인증,사진,누리꾼,재팬,운동,니키,보이콧,샤이닝,제안,한복,한국,매국,한복,챌린지,해시태그,운동,자신,한복,그림,방식,한복,우리나라,챌린치,참여,누리꾼,챌린지,자체,한푸,복원,한복,한국,중국,누리,한복,충돌,사례,중국,한푸,漢服,부흥운동,중국,인구,대다수,차지,한족,복식,취지,명나라,전통의상,고증,조선,시대,한복,원조,중국,주장,실제,중국,미인대회,드라마,패션쇼,한복,장신구,등장,현지,작가,유명,드라마,제작자,우정,于正,웨이보,명나라,속국,명나라,주장,상황,등장,샤이닝,니키,한복,명나라,영향,주장,조선족,의상,중국,목소리,청원,샤이닝,니키,한복,아이템,삭제,역사,고대,북방,중국,동북공정,누리,공분,이날,이날,청와대,청원,등장,중국,한복,김치,사물놀이,중국,주장,청원인,중국,예능,드라마,한복,김치,부채춤,문화,당장,중국,입장,표명,정부,요구
20201106	서울경제	"한복은 중국 것" 주장 中 게임, 韓 서비스 일방적 종료 통보	한복,중국,주장,게임,주장,통보,서비스,일방,종료,이용자,불매,분노,한복,중국,전통옷,중국,게임,종료,서비스,통보,논란,일각,문화,동북,공정,東北工程,목소리,업계,중국,게임,개발사,페이퍼게임즈,직영,운영,패션,스타일링,게임,샤이닝니키,서비스,한국,중단,6일,게임,다운로드,결제,차단,서비스,종료,예정,회사,지난달,이달,구입,상품,별도,문의,환불,절차,진행,공지,샤이닝니키,성우,유명,섭외,대대적,광고,마케팅,중국,한복,논란,한국,시장,서비스,종료,일방,통보,샤이닝니키,서버,한국,한복,추가,한국,전통의상,소개,한복,중국,네티즌,한국,전통의상,명나라,한푸,조선족,고유의상,반발,회사,한복,콘텐츠,삭제,페이퍼게임즈,공식,소셜,네트워크,서비스,SNS,웨이보,중국,기업,회사,입장,조국,입장,일치,국가,이익,손해,행위,반대,회사,커뮤니티,한국,공식,중국,기업,중국,모욕,행위,배격,국가,존엄성,수호,입장,이용자들,게임,이용자,분노,SNS,온라인,커뮤니티,샤이닝니키,게임,삭제,중국,게임,불매,글들,게시,이용자,샤이닝니키,게임,한국,시장,역사,문화,왜곡,중국,게임,이용자,게임,분통,국회,문화,체육,관광,위원회,소속,이상헌,더불어민주당,의원,환불,보상,절차,게임,종료,공정,거래,위원회,모바일,게임,표준,약관,위반,해외,게임사,막장운영,방지,대리,지정,제도,촉구
20201106	중앙일보	"한복은 중국 옷" 막장 中게임에, 韓네티즌 '한복챌린지' 반격	한복,중국,막장,게임,네티즌,한복챌린지,반격,한복,의상,중국,전통,소셜네트워크서비스,SNS,중심,확산,한복챌린지,해시태그,검색,기호,운동,참여,취업,준비,김시준,얘기,게임,게임,한복,아이템,중국,네티즌,중국,전통,의복,주장,운동,자신,트위,계정,한복,그림,요즘,프로그램,중국,TV,한복,한복,운동,참여,한국판,서비스,종료,샤이닝니키,동북,공정,東北工程,중국,국경,전개,역사,중국,역사,편입,논란,중국,모바일,게임,업체,샤이닝니키,사과,환불,안내,중단,한국,서비스,선언,비판,여론,확산,논란,페이퍼게임즈,지난달,중국,게임사,한국,게임,서비스,출시,기념,스타일링,자사,패션,샤이닝니키,모바일,게임,한복,아이템,시작,중국,이용자,한복,한국,전통,의상,소개,샤이닝니키,불쾌감,한복,명나라,한푸,漢服,중국,전통의상,조선족,전통,의상,항의,민원,제기,비판,직면,페이퍼게임즈,중국,SNS,웨이보,공식,계정,회사,조국,입장,일치,한복,아이템,게임,삭제,금액,환불,결정,다음날,28분,공식,카페,한국,서비스,종료,입장문,게임,서비스,종료,업체,한복,아이템,폐기,공지,안내,계정,한국인,사용자,중국,모욕,마지막,한계,중국,기업,국가,존엄성,수호,공지문,한국,전통,의상,중국,영향,주장,게시글,중국,블로그,게시,첨부,한국,이용자,반발,네티즌,한복,챌린지,운동,페이퍼게임즈,대응,한국,이용자,반응,게임,환불,의견,구글,플레이,평점,1점,추락,6일,1시,트렌드,SNS,실시간,페이퍼게임즈,문화열등감,생활한복,검색어,항의,게시,재팬,운동,중국,운동,제안,한복,한국,매국,이용자,전통,의상,한복,한복,챌린지,해시태그,운동,확산,챌린지,참여,한복,그림,공유,세계,중국,동북,공정,실태,세계사,학생,중국,한푸,한국,한복,차이,챌린지,참여,한복,중국인들
20201106	전자신문	이래도 중국 게임 할거야? 한국 이용자 뒤통수 치고 먹튀하는 이유가 '중국 존엄성 수호'인 샤이닝니키	중국,게임,뒤통수,한국,이용자,먹튀,수호,중국,존엄,샤이닝니키,중국게임사,횡포,한복,의상,진통,페이퍼게임즈,샤이닝니키,출시,일주일,서비스,종료,수호,중국,존엄,중국,페이퍼게임즈,샤이닝니키,스타일링,게임,한국,출시,기념,한복,품위,가온길,세월,한울,세월,게임,중국,앱스토어,매출,달성,한국,1위,앱스토어,인기,주목,신인,한복,아이템,중국,적용,중국,이용자,항의,한복,한국,전통,의상,한푸,명나라,시대,중국,소수,민족,조선족,고유의상,중국,전통,의상,논리,페이퍼게임즈,논리,아이템,파기,결정,한국,이용자,반발,게임사,책임,중국,기업,사명,무시,반발,페이퍼게임즈,게임,다운로드,결제,차단,구매,아이템,언급,환불,정책,게임,서비스,12월,종료,통보,페이퍼게임즈,폐기,의상,세트,중국,모욕,의견,마지막,한계,중국,기업,의견,배격,수호,국가,존엄,한국판,서비스,종료,일주일,서비스,시작,피해,결제,한국,이용자,페이퍼게임즈,횡포,게임,탈퇴,결제,강요,유료,결제,사용자,본인,인증,탈퇴,게임,머니,루비,캡처,요구,페이퍼게임즈,게임,러브앤프로듀서,웨이보,한국,이용자,교육,지칭,게임,이용자,유원진,한계,존엄성,중국,국가,존엄,수호,어처구니,발언,어이,중국게임,결제,중국,게임사,한국,이용자,무시,행태,킹덤즈,라이즈,오브,동해,일본해,표기,설가장,고구려,소굴,3년,한국,게임,중국,진출,중국게임사,뒤통수,이용자,의원,이상헌,더불어민주당,해외,게임,사업자,대상,국내대리인,의무적,사각지대,게임,개정안,발의,조문,작업,착수
20201106	아주경제	“한복은 중국 문화” 中 네티즌 주장에 ‘샤이닝니키’ 돌연 韓 서비스 종료 논란	한복,중국,문화,주장,네티즌,샤이닝니키,서비스,종료,논란,이상헌,의원,한복,동북,공정,비판,게임업계,대리인,제도,페이퍼게임즈,중국,게임사,자국,네티즌,한복,중국,문화,비판,모바일게임,한국,서비스,종료,논란,게임업,페이퍼게임즈,5일,공식,카페,논란,의상,세트,폐기,공지,안내,계정들,중국,모욕,마지막,한계,중국,기업,행위,배격,국가,존엄성,수호,샤이닝니키,한국판,서비스,종료,공지,페이퍼게임즈,이날,게임,다운로드,게임,결제,차단,서비스,내달,종료,공지,페이퍼게임즈,샤이닝니키,서비스,종료,한복,논란,지난달,출시,게임,한국,전통,의상,한복,의상,콘텐츠,샤이닝니키,한복,콘텐츠,이미지,사진,온라인,커뮤니티,제공,중국,이용자,한복,명나라,한푸,의상,조선족,전통,한국,한복,업데이트,항의,페이퍼게임즈,서비스,한국,한복,아이템,삭제,한복,중국,서비스,출시,이용자,반발,페이퍼게임즈,한국,서비스,종료,공지,중국,기업,입장,조국,일치,강조,의원,이상헌,더불어민주당,성명,샤이닝니키,한복,동북,공정,비판,영업장,일정,규모,해외,게임,사업자,대상,대리인,의무적,사각지대,강조,환불,보상,절차,생략,차단,다운로드,게임,서비스,종료,대목,실소,공정,거래,위원회,모바일,게임,표준,약관,제3항,위반,지적
