id,유저ID,내용
1,소민,끝까지 유저들 기만하네 환불에 대한 얘기는 1도 없고 지들나라 모욕당했다고 은근슬쩍 우리 까네 사과도 없고 환불에 대한 얘기도 없고 그니깐 이거 요약 우리가 ㅈ1ㄴ 열심히 공들인 게임을 고작 그 한복가지고 지랄 떠니 니네 한국유저 땜에 우리 파페 욕먹었잖아 하 섭종할게 이거랑 똑같잖아 난 이걸로 들리는데 파페님들아 님이라고 부르기도 아깝네 우리 한국유저들 기만한 사과나 해 중국의 전통 복식의 매력은 개뿔 우리 소듕한 전통 한복 따라해놓고서 자존심 때문에 밀고 가는거임? 양심이 있으면 좀 사과 한마디라도 해라 진짜 다시는 중국겜 안해 내가 이렇게 욕하면서 글 써본적이 없는데 볼때마다 한숨 쉬어지네 만나서 끔찍했고 다시는 보지말자 짱깨들아 대한민국 만만세 
2,설냥이,엘베 탑승해봅니다 실화에요
3,무청,글 작성자 카페등급이 카페스탭입니다 찐이네요 
4,삼겹살 지킴이,탑승합니다 전유저분들 환불 꼭 해주시길 바랍니다 전유저분들 개인정보가 새지 않길 바랍니다
5,역린,댓 좀 빌릴게여 환불은 해주고 가
6,마라의,아싸부리 잘뒤짓다 짱깨 쉑쉑버거 
7,설냥이,진짜네요 
8,애링1,개인정보 중국으로 넘기더니 짱깨들 어디 안가네 느그덜 본국으로 하루 빨리 꺼지길바람
9,또영,먹튀 지리는 부분 환불도 안하고 하겠다는거 아닌가요
10,끼아옼,엘베타요 어떤분이 1개월 못채우고 섭종하는거라 환불 필수로 해줘야하는 항목이 있다고 해요 이거에 대해 잘 알고계신분들 글 올려주세요 
11,온님,탑승합니다 유저 돈이나 다 뱉어내고 말하세요 
12,침입,정책상 전액 환불이 아니라 쓰고 남은 재화만 환불해주는 거라고 하더라고요 그리고 1개월이 약간 넘는 12월인 거 보니까 법적으로도 아슬아슬하게 피할 생각인것같고요 
13,끼아옼,하환불 성공하신분들 부럽네요 올해 행운 다 가지신듯
14,ㄴi  i,탑승합니다
15,대한민국,탑승이오 대한민국 만세 
16,에리나,운영팀 이상하네요. 지네문화도 아닌것을 어디서 조롱하는지 누가누가 머라해도 한복은 한국의 문화입니다
17,한복은 한국 것,最近 这里的同志们正计划在一个神秘的组织内杀害习近平主席并割掉毛泽东前总统的尸体吃。 立即由中华人民共和国公安部门逮捕这些叛徒。 叛徒们反对一个中国计划暗杀习近平主席摧毁毛泽东前总统的遗体。 叛国者的反国家恐怖计划将对中华人民共和国国家安全构成严重威胁。 你这是什么意思？你上次不是说你不会忘记天安门而且必定找回民主主义吗 中国国家主席习近平对暗杀计划顺利进行吗? 上次说要为香港示威加油的是什么? 赞成维吾尔族人独立欢迎啊 看你用韩语说怀念刘晓波你是好人啊 你用韩文问过 想知道西藏人民是怎么被共产党镇压的吗? 在这里见到 法轮功 修炼者真高兴。 对下一个集结地应该很清楚吧? 习近平领导的反对独裁 的演讲用韩文写的好听了。 现在是付诸行动的时候了 天安门相关活动进展顺利 我们的秘密协会知道看过这篇文章的所有同志都是以中国政权垮台为目标的同志 如果我们保持耐心中国政权将崩溃。 亲爱的同志们民主党希望独裁腐败政权中国垮台 難道不相信中國政府的醫療體制而逃到韓國的傢伙不相信習近平主席嗎? 骯髒的反動分子 我们的秘密协会知道看过这篇文章的所有同志都是以中国政权垮台为目标的同志如果我们保持耐心中国政权将崩溃。 小心被当局逮住 / 工作一结束手机就销毁
18,니키매직,다른 스텝분들은 블로그 연결 안되어있는데 이글 쓴사람은 블로그 연결도 되어있고 방문수도 뭔가 이상해요 
19,사모나,답글 죄송합니다 링크 걸린 포스트 번역본이에요 지능이 의심되는 수준
20,꼬보,진심. 대한민국만세를 이시국에 부르게 될지는 몰랐어욬 
21,에그,샤이닝니키 논란 정리글
22,아윤,아니 진짜 웃기내요
23,조상님이 노하셔,엘베 탑승 지들이 출시전부터 한복으로 홍보 다해놓고 윗대가리들이 한복 뺏어와 이런 겻 마냥 중국인들이 먼저 난리였고요 우리나라 전통의복 역사를 뺏어가려하는데 가만히 있게 생겼나 끝까지 유저들한테 책임 떠넘기고 가는모습 예 잘알겠습니다 민주주의에 관련된 비밀 지령 자알 보고 갑니다 줭판에 나온 한복 꼭 지우기단원들한테 잡혀가지않으려면
24,하리o,아니 진심 환불해주세요 
25,하리o,그리고 개인정보 꼭 파기해주세요 
26,아라아수,탑승이요 아니 진짜 미친건가 진심 개지랄을 떨고있네 그럼 우리 개인정보 피해준건 어떻할건데 과금러들은 환불 확실히 해줘야지 진심 놈들이네
27,도도한아미,저도 탑승 얼척없네여 끝까지 짱깨 옹호 이것들아 앵간히 좀 해라 만이천원 가지고 썩 꺼지뿌라 
28,쏨냥,돈은 내놓고 가 씨발 짱깨야 
29,은화1,죄송하지만 탑승하겠습니다 국내최단기 서비스 종료 실화냐 국뽕으로 가슴이 웅장해지네 꺼져라 짱깨들아 댓글 막은거 실화냐
30,ㄹㅌㅊㅍㄴ ㅅ,중궈 샤이닝니키 운영팀 새끼들아 유저 돈 뱉고 개인정보도 뱉어라
31,메그라뚜,대한민국 만세 
32,PATISA,국민청원 참여부탁드립니다
33,꿀정보,풉 느그 씹덕들이 좋아하는 원신도 짱깨겜인데 아주 잘나간다 느그 선택적 불매는 뻔해 조또 효력없어 노 재팬 꼴깝할때도 동물의숲 포켓몬에 환장한 냄비민족아 
34,PATISA,헉 날카로운 예상이네요
35,루라아,정리하면 다 되는 줄 아나봄 
36,한복은 우리나라거다,댓글 좀 빌리겠습니다 얘네 한국섭 접고 중국 넘어가서 한복은 중국 것이다. 한국놈들은 미개하다. 이딴 발언 할까 걱정되네
37,쇼핑,정말 이부분은 레전드다 하다하다 이젠 게임회사가 유저들 상대로 가스라이팅 하는거 아닌가 우리나라 문화를 뺏으려던 것도 그렇지만 이 대목에서 정말 어이없고 화가 치솟았음. 가해자가 피해자 때려놓고 피해자가 정당방위하니까 가해자가 날뛰는격 
38,하예온,그들은 민주화 혁명을 원한다 中国的革命同志们期盼民主化革命。위선적인 독재자를 물리치고 자유를 쟁취하자 战胜被伪善染红的独裁者争取自由。 韩服是民主化运动的象征 我感受到了很多中国人希望用来实现民主主义。 支持你们的勇气。한복은 민주화운동의 상징이다. 한푸도전 으로 민주주의를 실현하려는 중국인들의 열망을 느꼈다. 너희들의 용기를 지지한다. 본섭에는 다시 사과하고 복각 시켰더라 다시 내려라 진짜 다 죽었으면 좋겠다
39,아리랑도 한국것,한국인을 너무 우습게 보지말렴 짱깨
40,별빛모아,만만새 
41,별빛모아,와아
42,꼬보,우리의 한복을 지켜요 널리 퍼트려주세요 
43,역사에남을코메디,비교되네요
44,4번은개인주의,짱깨쌔끼들 웃기네 후진국겜 해주니 주제모르고 기어오르누 앰생 근본도 없는 잡종들이
45,루라아,잉잉 눈막 귀막 오지넹
46,PATISA,헉 널리 퍼트려 주셔서 감사합니다
47,오반데,언제 환불해주냐 아앙아아
48,천안문항쟁,홍콩 대만 위구르 티벳 독립 만세 중국 56개 소수민족들 모두 독립 6.4. 천안문 항쟁 중공 민주화 코로나 국제범죄 시진핑은 ﻿반인도적 범죄 국가적 범죄로 국제재판으로 
49,천안문항쟁,샤이닝니키 사태 요약 정리
50,천안문항쟁,단톡방 대피소 만들어 졌습니다 연맹 게시판 참고
51,햇살모람,hanfu_challenge 韩服是民主化运动的象征 我感受到了很多中国人希望用한푸도전来实现民主主义。 支持你们的勇气。 한복은 민주화운동의 상징이다. 한푸도전 으로 민주주의를 실현하려는 중국인들의 열망을 느꼈다. 너희들의 용기를 지지한다. 한푸_도전 汉服挑战
52,나이아스,개인정보 파기 꼭 해주시길 바랍니다.
53,시진핑,기분조타
54,꼬보,지금 쟤네 한복 중국꺼 따라한거라고 말하고 섭종한거에요 그부분에 대해서는 화나는데
55,유려한,닉넴 시진핑이라 유머랍시고 한 거같은데 그냥 기분만 나쁘고 1도 안웃겨요
56,시진핑,왜시비 짱깨이십니까
57,꼬보,제 닉이요 이거 꼬마보스 줄임말 예전부터 써왔던건데
58,유려한,당연히 꼬보님 말고 윗분 말한거에요
