순위,단어,빈도,,,
1,중국,3002,,,
2,문화,547,,,
3,한복,527,,,
4,시진핑,518,,,
5,게임,486,,,
6,한국,459,,,
7,나라,441,,,
8,중국인,413,,,
9,우리,364,,,
10,사람,311,,,
11,역사,291,,,
12,생각,256,,,
13,일본,253,,,
14,영상,238,,,
15,자기,230,,,
16,공산당,222,,,
17,개,217,,,
18,마오쩌둥,213,,,
19,우리나라,212,,,
20,국가,211,,,
21,놈,210,,,
22,지금,198,,,
23,미국,190,,,
24,코로나,166,,,
25,옷,152,,,
26,세계,146,,,
27,마지막,145,,,
28,조선족,145,,,
29,정부,141,,,
30,하나,141,,,
31,문제,128,,,
32,샤이닝니키,126,,,
33,민주화,123,,,
34,땅,119,,,
35,대혁명,115,,,
36,새끼,115,,,
37,남,114,,,
38,천안문,114,,,
39,돈,107,,,
40,한푸,104,,,
41,민주주의,100,,,
42,사실,100,,,
43,소리,99,,,
44,명나라,96,,,
45,댓글,95,,,
46,동북공정,94,,,
47,욕,93,,,
48,북한,89,,,
49,한족,89,,,
50,너,84,,,
51,정치,84,,,
52,시작,81,,,
53,이유,81,,,
54,고려,79,,,
55,중국공산당,79,,,
56,민족,77,,,
57,대만,74,,,
58,대한민국,74,,,
59,영향,74,,,
60,지네,73,,,
61,국민,70,,,
62,적,69,,,
63,한국인,69,,,
64,중공,68,,,
65,홍콩,68,,,
66,가지,67,,,
67,운동,67,,,
68,혐오,67,,,
69,관련,66,,,
70,짓,65,,,
71,회사,65,,,
72,상징,64,,,
73,응원,63,,,
74,광고,62,,,
75,전쟁,62,,,
76,친,61,,,
77,유저,60,,,
78,주장,60,,,
79,글,59,,,
80,수준,59,,,
81,인구,59,,,
82,자체,59,,,
83,트위터,59,,,
84,대국,58,,,
85,지구,58,,,
86,병신,58,,,
87,답,55,,,
88,롤,55,,,
89,명,55,,,
90,사태,55,,,
91,전통,55,,,
92,정신,55,,,
93,차이나,55,,,
94,한번,54,,,
95,유튜브,54,,,
96,대통령,53,,,
97,정권,53,,,
98,청나라,53,,,
99,중국어,52,,,
100,몽,51,,,
101,소수민족,51,,,
102,영어,51,,,
103,인체,51,,,
104,앞,50,,,
105,전세계,50,,,
106,조선,50,,,
107,형님,50,,,
108,이해,49,,,
109,인정,49,,,
110,자신,49,,,
111,존나,49,,,
112,지지,49,,,
113,사건,48,,,
114,손,48,,,
115,인간,48,,,
116,쪽,48,,,
117,계속,47,,,
118,논리,47,,,
119,대한,47,,,
120,세상,47,,,
121,전부,47,,,
122,분,46,,,
123,사이다,46,,,
124,신,46,,,
125,지랄,46,,,
126,홍위병,46,,,
127,힘,46,,,
128,쓰레기,45,,,
129,개인,44,,,
130,민폐,44,,,어
131,삭제,43,,,
132,선,43,,,
133,전통의상,43,,,
134,절대,43,,,
135,공자,42,,,
136,독립,42,,,
137,거지,41,,,
138,요즘,41,,,
139,자본,41,,,
140,현재,41,,,
141,걱정,40,,,
142,신비,40,,,
143,우한,40,,,
144,이후,40,,,
145,처음,40,,,
146,공산주의,39,,,
147,관심,39,,,
148,다음,39,,,
149,대가리,39,,,
150,원래,39,,,
151,치파오,39,,,
152,주의,38,,,
153,짱,38,,,
154,기업,37,,,
155,입장,37,,,
156,정치인,37,,,
157,팩트,37,,,
158,고구려,36,,,
159,내용,36,,,
160,모두,36,,,
161,사상,36,,,
162,속국,35,,,
163,이상,35,,,
164,국뽕,34,,,
165,김성회,34,,,
166,끝,34,,,
167,나중,34,,,
168,날,34,,,
169,너희,34,,,
170,독재,34,,,
171,몽골,34,,,
172,애초,34,,,
173,의복,34,,,
174,중화사상,34,,,
175,친구,34,,,
176,근본,33,,,
177,복식,33,,,
178,소국,33,,,
179,아시아,33,,,
180,역사왜곡,33,,,
181,의상,33,,,
182,공지,32,,,
183,교육,31,,,
184,꼴,31,,,
185,라핀,31,,,
186,상대,31,,,
187,오랑캐,31,,,
188,우기,31,,,
189,최고,31,,,
190,탄압,31,,,
191,핵,31,,,
192,경제,30,,,
193,국내,30,,,
194,기술,30,,,
195,눈치,30,,,
196,덩어리,30,,,
197,머리,30,,,
198,발언,30,,,
199,불매,30,,,
200,이야기,30,,,
201,인종차별,30,,,
202,잘못,30,,,
203,존재,30,,,
204,과거,29,,,
