순위,단어,빈도
1,환불,792
2,중국,445
3,한복,325
4,한국,296
5,게임,253
6,짱깨,192
7,돈,157
8,공지,156
9,우리,149
10,유저,131
11,글,128
12,말,127
13,섭종,127
14,새끼,123
15,문화,109
16,씨발,97
17,샤이닝니키,97
18,개인정보,95
19,생각,91
20,지랄,87
21,사람,77
22,놈,75
23,중국인,74
24,탈퇴,69
25,삭제,68
26,끝,67
27,사과,60
28,모욕,60
29,점검,55
30,남,55
31,전액,54
32,역사,53
33,카페,52
34,민주주의,51
35,구글,51
36,대한민국,49
37,전통,48
38,너희,48
39,우리나라,47
40,민주화,46
41,욕,44
42,종료,42
43,운영,42
44,소리,42
45,시진핑,42
46,댓글,42
47,전통의상,41
48,옷,41
49,국가,41
50,한푸,40
51,처리,40
52,서비스,38
53,결제,38
54,병신,36
55,파기,34
56,페이퍼,33
57,한국인,33
58,진행,33
59,수준,32
60,서버,31
61,조국,30
62,운동,30
63,폐기,28
64,회사,28
65,상징,28
66,천안문,27
67,애플,27
68,홍콩,26
69,처음,25
70,지지,25
71,좆,25
72,정보,24
73,의상,24
74,시간,24
75,변발,24
76,한계,23
77,잘못,23
78,레전드,23
79,먼저,23
80,내용,23
81,일,23
82,보고,22
83,대가리,22
84,개새끼,22
85,마지막,21
86,도전,21
87,기만,21
88,계정,21
89,정신,20
90,선,20
91,쓰레기,20
92,분,20
93,당신,20
94,공산당,20
95,코로나,19
96,짓,19
97,조선족,19
98,존엄성,19
99,먹튀,19
100,링크,19
101,게시,19
102,쪽,18
103,국민,18
104,청원,17
105,죽,17
106,입장,17
107,상황,17
108,나머지,17
109,피해자,16
110,치파오,16
111,착,16
112,일주일,16
113,우기,16
114,완료,16
115,연장,16
116,열망,16
117,방법,16
118,명나라,16
119,대한,16
120,진심,15
121,직원,15
122,중,15
123,이해,15
124,아이,15
125,실화,15
126,신청,15
127,번,15
128,사실,15
129,빨,15
130,복식,15
131,머리,15
132,답,15
133,가요,15
134,고유,15
135,해결,14
136,정액,14
137,종이,14
138,전부,14
139,장난,14
140,아이폰,14
141,영향,14
142,실현,14
143,세계,14
144,분노,14
145,보지,14
146,문제,14
147,만세,14
148,독립,14
149,땅,14
150,도둑,14
151,기분,14
152,고려,14
153,가세,14
154,가지,14
155,화,14
156,거절,14
157,파페,13
158,주장,13
159,용기,13
160,인정,13
161,웃기,13
162,이번,13
163,의복,13
164,역대,13
165,얘기,13
166,성우,13
167,보상,13
168,본인,13
169,부분,13
170,메일,13
171,달,13
172,동의,13
173,똥,13
174,기업,13
175,꼴,13
176,거지,13
177,프리,12
178,팀,12
179,정도,12
180,신고,12
181,바로,12
182,마냥,12
183,바퀴벌레,12
184,문의,12
185,년,12
186,개돼지,12
187,평생,11
188,행동,11
189,탓,11
190,존중,11
191,입,11
192,응원,11
193,역사왜곡,11
194,양심,11
195,오픈,11
196,시작,11
197,본사,11
198,사태,11
199,사과문,11
200,민족,11
201,대만,11
202,대해,11
203,당장,11
204,난리,11
205,금액,11
206,감,11
207,하루,10
208,코스프레,10
209,키,10
210,탑승,10
211,정부,10
212,전통문화,10
213,유출,10
214,일본,10
215,자동,10
216,작성,10
217,오늘,10
218,스텝,10
219,사건,10
220,마오쩌둥,10
221,모두,10
222,런칭,10
223,공식,10
224,거부,10
225,경우,10
226,관련,10
227,거기,10
228,관심,10
229,피코,9
230,피해,9
231,취소,9
232,저기,9
233,이후,9
234,애초,9
235,요청,9
236,소수민족,9
237,마인드,9
238,러브,9
239,님들,9
240,라면,9
241,도둑질,9
242,동북공정,9
243,기도,9
244,눈,9
245,뇌,9
246,그것,9
247,글쓰기,9
248,논란,9
249,논리,9
250,걱정,9
251,핑핑,8
252,축하,8
253,전체,8
254,주제,8
255,이메일,8
256,자체,8
257,이면,8
258,이유,8
259,염병,8
260,실망,8
261,신분,8
262,상태,8
263,사랑,8
264,번역,8
265,사진,8
266,망겜,8
267,매니저,8
268,끼리,8
269,게시판,8
270,곳,8
271,공부,8
272,겁,8
273,한국어,7
274,현재,7
275,티,7
276,중화사상,7
277,장사,7
278,지구,7
279,정리,7
280,저번,7
281,전세계,7
282,이상,7
283,위,7
284,일부,7
285,원나라,7
286,완전,7
287,언론,7
288,수고,7
289,씹덕,7
290,세뇌,7
291,스탭,7
292,소식,7
293,속국,7
294,벌레,7
295,방송,7
296,사항,7
297,민폐,7
298,매력,7
299,뜻,7
300,똥꼬,7
301,라이,7
302,대박,7
303,대혁명,7
304,덩어리,7
305,느그,7
306,근본,7
307,끼,7
308,기록,7
309,고생,7
310,개발자,7
311,검토,7
312,과금,7
